,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,PIH,"1347 Property Insurance Holdings, Inc.",7.35,$43.99M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
1,TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,
2,FLWS,"1-800 FLOWERS.COM, Inc.",9.7,$626.86M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
3,FCCY,1st Constitution Bancorp (NJ),18.15,$146.53M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
4,SRCE,1st Source Corporation,50.19,$1.3B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
5,VNET,"21Vianet Group, Inc.",7.12,$801M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
6,TWOU,"2U, Inc.",67.29,$3.51B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
7,JOBS,"51job, Inc.",60.66,$3.75B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
8,CAFD,8point3 Energy Partners LP,15.245,$1.21B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
9,EGHT,8x8 Inc,14.025,$1.29B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
10,AVHI,"A V Homes, Inc.",18.55,$416.55M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
11,SHLM,"A. Schulman, Inc.",37.8,$1.12B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
12,AAON,"AAON, Inc.",35.2,$1.85B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
13,ABAX,"ABAXIS, Inc.",49.87,$1.13B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
14,ABEO,Abeona Therapeutics Inc.,16.65,$778.81M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
15,ABEOW,Abeona Therapeutics Inc.,11.66,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,
16,ABIL,Ability Inc.,0.5399,$13.91M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
17,ABMD,"ABIOMED, Inc.",198.42,$8.77B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
18,ABLX,Ablynx NV,22.96,$1.72B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
19,AXAS,Abraxas Petroleum Corporation,2.02,$335.1M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
20,ACIU,AC Immune SA,11.33,$644.93M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
21,ACIA,"Acacia Communications, Inc.",38.94,$1.53B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
22,ACTG,Acacia Research Corporation,4.15,$210.01M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
23,ACHC,"Acadia Healthcare Company, Inc.",31.02,$2.73B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
24,ACAD,ACADIA Pharmaceuticals Inc.,27.59,$3.43B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
25,ACST,"Acasti Pharma, Inc.",1.7,$25.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
26,AXDX,"Accelerate Diagnostics, Inc.",26.6,$1.47B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
27,XLRN,Acceleron Pharma Inc.,36.65,$1.66B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
28,ANCX,Access National Corporation,28.37,$580.24M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
29,ARAY,Accuray Incorporated,5.2,$436.38M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
30,ACRX,"AcelRx Pharmaceuticals, Inc.",2.15,$108.23M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
31,ACER,Acer Therapeutics Inc.,17.585,$113.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,
32,ACERW,Acer Therapeutics Inc.,0.0192,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw,
33,ACET,Aceto Corporation,10.73,$328.78M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
34,AKAO,"Achaogen, Inc.",11.875,$503.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
35,ACHV,"Achieve Life Sciences, Inc. ",1.58,$18.88M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,
36,ACHN,"Achillion Pharmaceuticals, Inc.",3.26,$449.42M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
37,ACIW,"ACI Worldwide, Inc.",23.42,$2.78B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
38,ACRS,"Aclaris Therapeutics, Inc.",23.31,$718.76M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
39,ACMR,"ACM Research, Inc.",6.9,$104.27M,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,
40,ACNB,ACNB Corporation,28.5,$200.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
41,ACOR,"Acorda Therapeutics, Inc.",20,$934.94M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
42,SQZZ,Active Alts Contrarian ETF,24.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,
43,ATVI,"Activision Blizzard, Inc",65.74,$49.71B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
44,ACTA,Actua Corporation,15.55,$508.83M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
45,ACXM,Acxiom Corporation,26.78,$2.12B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
46,ADMS,"Adamas Pharmaceuticals, Inc.",33.08,$753.53M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
47,ADMP,Adamis Pharmaceuticals Corporation,3.95,$131.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
48,ADAP,Adaptimmune Therapeutics plc,8.14,$762.61M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
49,ADUS,Addus HomeCare Corporation,31.8,$369.89M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
50,AEY,"ADDvantage Technologies Group, Inc.",1.47,$14.98M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
51,IOTS,Adesto Technologies Corporation,8.4,$177.57M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,
52,ADMA,ADMA Biologics Inc,3.11,$140.93M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
53,ADBE,Adobe Systems Incorporated,185,$91.19B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
54,ADOM,"ADOMANI, Inc.",3.8602,$262.77M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,
55,ADTN,"ADTRAN, Inc.",22.3,$1.07B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
56,ADRO,"Aduro Biotech, Inc.",8.8,$684.03M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
57,AAAP,Advanced Accelerator Applications S.A.,81.3,$3.59B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
58,ADES,"Advanced Emissions Solutions, Inc.",9.64,$203.3M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
59,AEIS,"Advanced Energy Industries, Inc.",83.3,$3.3B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
60,AMD,"Advanced Micro Devices, Inc.",11.55,$11.14B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
61,ADXS,"Advaxis, Inc.",3.06,$125.66M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
62,ADXSW,"Advaxis, Inc.",0.9001,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
63,ADVM,"Adverum Biotechnologies, Inc.",3.1,$139.63M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,
64,AEGN,Aegion Corp,26.82,$872.37M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
65,AGLE,"Aeglea BioTherapeutics, Inc.",4.21,$70.07M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,
66,AEHR,Aehr Test Systems,2.78,$59.89M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
67,AMTX,"Aemetis, Inc",0.7,$13.88M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
68,AERI,"Aerie Pharmaceuticals, Inc.",60.95,$2.24B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
69,AVAV,"AeroVironment, Inc.",44.45,$1.06B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
70,AEZS,AEterna Zentaris Inc.,2.07,$34.03M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,
71,AEMD,"Aethlon Medical, Inc.",1.0499,$15.85M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,
72,GNMX,"Aevi Genomic Medicine, Inc.",1.23,$72.98M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx,
73,AFMD,Affimed N.V.,1.975,$88.23M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,
74,AGEN,Agenus Inc.,3.84,$384.7M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,
75,AGRX,"Agile Therapeutics, Inc.",5.1,$174.35M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,
76,AGYS,"Agilysys, Inc.",11.95,$277.27M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,
77,AGIO,"Agios Pharmaceuticals, Inc.",61.185,$2.98B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
78,AGNC,AGNC Investment Corp.,20.235,$7.92B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,
79,AGNCB,AGNC Investment Corp.,26.3484,$9.13B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,
80,AGNCN,AGNC Investment Corp.,26.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn,
81,AGFS,"AgroFresh Solutions, Inc.",5.61,$282.39M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,
82,AGFSW,"AgroFresh Solutions, Inc.",0.364,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw,
83,ALRN,"Aileron Therapeutics, Inc.",10.68,$157.2M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn,
84,AIMT,"Aimmune Therapeutics, Inc.",35.21,$1.79B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,
85,AIRT,"Air T, Inc.",24.5,$50.05M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,
86,ATSG,"Air Transport Services Group, Inc",23.54,$1.39B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
87,AIRG,"Airgain, Inc.",9.67,$92.63M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg,
88,AMCN,AirMedia Group Inc,2.18,$136.94M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,
89,AKAM,"Akamai Technologies, Inc.",55.35,$9.36B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,
90,AKTX,Akari Therapeutics Plc,4.74,$72.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,
91,AKCA,"Akcea Therapeutics, Inc.",18.96,$1.26B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca,
92,AKBA,"Akebia Therapeutics, Inc.",15.56,$735.51M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,
93,AKER,Akers Biosciences Inc,0.4849,$4.32M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,
94,AKRX,"Akorn, Inc.",32.64,$4.08B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,
95,AKTS,"Akoustis Technologies, Inc.",6.58,$127.44M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts,
96,ALRM,"Alarm.com Holdings, Inc.",44.81,$2.11B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,
97,ALSK,"Alaska Communications Systems Group, Inc.",2.13,$111.71M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,
98,ALBO,"Albireo Pharma, Inc.",26.2,$233.17M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo,
99,ABDC,Alcentra Capital Corp.,8.02,$114.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,
100,ALDR,"Alder BioPharmaceuticals, Inc.",10.325,$699.63M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,
101,ALDX,"Aldeyra Therapeutics, Inc.",6.85,$130.96M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,
102,ALXN,"Alexion Pharmaceuticals, Inc.",107.74,$24.07B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,
103,ALCO,"Alico, Inc.",32.3,$266.59M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,
104,ALGN,"Align Technology, Inc.",262.42,$21.04B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,
105,ALIM,"Alimera Sciences, Inc.",1.31,$90.58M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,
106,ALJJ,"ALJ Regional Holdings, Inc.",3.6395,$132.91M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj,
107,ALKS,Alkermes plc,50.37,$7.75B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,
108,ABTX,"Allegiance Bancshares, Inc.",38.35,$505.51M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,
109,ALGT,Allegiant Travel Company,138.55,$2.23B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,
110,ALNA,"Allena Pharmaceuticals, Inc.",14.38,$296.54M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/alna,
111,AHGP,"Alliance Holdings GP, L.P.",24.95,$1.49B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,
112,AMMA,"Alliance MMA, Inc.",1.5001,$19M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma,
113,ARLP,"Alliance Resource Partners, L.P.",18.125,$2.37B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,
114,AHPI,"Allied Healthcare Products, Inc.",2.4,$9.63M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,
115,AMOT,"Allied Motion Technologies, Inc.",32.2,$304.39M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,
116,ALQA,"Alliqua BioMedical, Inc.",2.17,$10.82M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,
117,ALLT,Allot Communications Ltd.,5.57,$184.45M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,
118,MDRX,"Allscripts Healthcare Solutions, Inc.",14.16,$2.56B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,
119,AFAM,Almost Family Inc,61.4,$857.63M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,
120,ALNY,"Alnylam Pharmaceuticals, Inc.",131.49,$12.19B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,
121,AOSL,Alpha and Omega Semiconductor Limited,18.03,$430.47M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,
122,GOOG,Alphabet Inc.,1054.21,$732.47B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,
123,GOOGL,Alphabet Inc.,1072.01,$744.83B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,
124,SMCP,AlphaMark Actively Managed Small Cap ETF,24.9395,$27.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,
125,ATEC,"Alphatec Holdings, Inc.",2.9,$48.5M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,
126,ALPN,"Alpine Immune Sciences, Inc.",9.99,$138.68M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn,
127,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,29.5764,$10.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin,
128,AABA,Altaba Inc.,72.08,$62.95B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,
129,ALTR,Altair Engineering Inc.,22.68,$1.37B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr,
130,ALT,"Altimmune, Inc.",1.98,$30.99M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt,
131,ASPS,Altisource Portfolio Solutions S.A.,27.09,$485.04M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,
132,AIMC,Altra Industrial Motion Corp.,47.25,$1.38B,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,
133,AMAG,"AMAG Pharmaceuticals, Inc.",13.9,$491.7M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,
134,AMRN,Amarin Corporation plc,3.17,$858.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,
135,AMRK,"A-Mark Precious Metals, Inc.",14.27,$100.34M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,
136,AMZN,"Amazon.com, Inc.",1195.83,$576.24B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,
137,AMBC,"Ambac Financial Group, Inc.",14.42,$652.52M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,
138,AMBCW,"Ambac Financial Group, Inc.",5.59,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,
139,AMBA,"Ambarella, Inc.",57.5,$1.91B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,
140,AMCX,AMC Networks Inc.,49.55,$3.07B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,
141,DOX,Amdocs Limited,64.83,$9.42B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,
142,AMDA,Amedica Corporation,3.37,$10.18M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,
143,AMED,Amedisys Inc,53.54,$1.82B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,
144,UHAL,Amerco,354.46,$6.95B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,
145,AMRH,"Ameri Holdings, Inc.",3.2,$50.74M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrh,
146,AMRHW,"Ameri Holdings, Inc.",0.6,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amrhw,
147,ATAX,"America First Multifamily Investors, L.P.",6.1,$367.54M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,
148,AMOV,"America Movil, S.A.B. de C.V.",17.46,$57.67B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,
149,AAL,"American Airlines Group, Inc.",48.41,$23.16B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,
150,ACSF,"American Capital Senior Floating, Ltd.",10.8,$108M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,
151,AETI,"American Electric Technologies, Inc.",1.5501,$13.44M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,
152,AMNB,"American National Bankshares, Inc.",39.55,$342M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,
153,ANAT,American National Insurance Company,125.8,$3.39B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,
154,AOBC,American Outdoor Brands Corporation,13.74,$741.98M,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc,
155,APEI,"American Public Education, Inc.",24.9,$405.07M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,
156,ARII,"American Railcar Industries, Inc.",38.65,$737.59M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,
157,AMRB,American River Bankshares,15.05,$95.97M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,
158,AMSWA,"American Software, Inc.",12.51,$371.89M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,
159,AMSC,American Superconductor Corporation,3.34,$69.89M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,
160,AMWD,American Woodmark Corporation,94.75,$1.54B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,
161,CRMT,"America&#39;s Car-Mart, Inc.",46.5,$342.52M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,
162,ABCB,Ameris Bancorp,48.3,$1.8B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,
163,AMSF,"AMERISAFE, Inc.",64.75,$1.25B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,
164,ASRV,AmeriServ Financial Inc.,4.15,$75.84M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,
165,ASRVP,AmeriServ Financial Inc.,28,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,
166,ATLO,Ames National Corporation,29.65,$276.07M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,
167,AMGN,Amgen Inc.,169.71,$123.19B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,
168,FOLD,"Amicus Therapeutics, Inc.",13.34,$2.22B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,
169,AMKR,"Amkor Technology, Inc.",11.39,$2.73B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,
170,AMPH,"Amphastar Pharmaceuticals, Inc.",18.01,$828.02M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,
171,IBUY,Amplify Online Retail ETF,38.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy,
172,ASYS,"Amtech Systems, Inc.",10.74,$158.21M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,
173,AFSI,"AmTrust Financial Services, Inc.",9.37,$1.84B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,
174,AMRS,"Amyris, Inc.",3.74,$160.95M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,
175,ADI,"Analog Devices, Inc.",87.42,$32.23B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,
176,ALOG,Analogic Corporation,83.15,$1.04B,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,
177,ANAB,"AnaptysBio, Inc.",79.765,$1.87B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,
178,AVXL,Anavex Life Sciences Corp.,3.79,$159.83M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl,
179,ANCB,Anchor Bancorp,24.85,$62M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,
180,ANDA,Andina Acquisition Corp. II,10.25,$49.99M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda,
181,ANDAR,Andina Acquisition Corp. II,1.13,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andar,
182,ANDAU,Andina Acquisition Corp. II,12,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andau,
183,ANDAW,Andina Acquisition Corp. II,0.95,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andaw,
184,ANGI,ANGI Homeservices Inc.,11.83,$5.65B,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,
185,ANGO,"AngioDynamics, Inc.",17.4,$638.85M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,
186,ANIP,"ANI Pharmaceuticals, Inc.",66.69,$777.2M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,
187,ANIK,Anika Therapeutics Inc.,54.16,$794.08M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,
188,ANSS,"ANSYS, Inc.",150.88,$12.8B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,
189,ATRS,"Antares Pharma, Inc.",1.77,$277.31M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,
190,ANTH,"Anthera Pharmaceuticals, Inc.",1.935,$26.8M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,
191,APLS,"Apellis Pharmaceuticals, Inc.",13.64,$525.73M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apls,
192,APOG,"Apogee Enterprises, Inc.",47.52,$1.36B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,
193,APEN,"Apollo Endosurgery, Inc.",4.07,$70.37M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/apen,
194,AINV,Apollo Investment Corporation,6.05,$1.32B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,
