,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1956,NERV,"Minerva Neurosciences, Inc",5.25,$203.18M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nerv,
1957,MGEN,"Miragen Therapeutics, Inc.",7.96,$177.58M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/mgen,
1958,MRTX,"Mirati Therapeutics, Inc.",17.2,$435.18M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrtx,
1959,MSON,"MISONIX, Inc.",10.95,$102.55M,1992,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/mson,
1960,MIND,"Mitcham Industries, Inc.",3.7618,$45.48M,1994,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mind,
1961,MINDP,"Mitcham Industries, Inc.",22.6939,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mindp,
1962,MITK,"Mitek Systems, Inc.",9.5,$324.62M,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/mitk,
1963,MITL,Mitel Networks Corporation,7.745,$929.48M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/mitl,
1964,MKSI,"MKS Instruments, Inc.",103.1,$5.6B,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mksi,
1965,MMAC,"MMA Capital Management, LLC",26,$151.18M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/mmac,
1966,MINI,"Mobile Mini, Inc.",34.25,$1.52B,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mini,
1967,MOBL,"MobileIron, Inc.",3.9,$374.62M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mobl,
1968,MMDM,Modern Media Acquisition Corp.,9.77,$252.8M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/mmdm,
1969,MMDMR,Modern Media Acquisition Corp.,0.385,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/mmdmr,
1970,MMDMU,Modern Media Acquisition Corp.,10.43,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/mmdmu,
1971,MMDMW,Modern Media Acquisition Corp.,0.5,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/mmdmw,
1972,MLNK,"ModusLink Global Solutions, Inc",1.7,$94.45M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mlnk,
1973,MTEM,"Molecular Templates, Inc.",8.36,$224.84M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtem,
1974,MBRX,"Moleculin Biotech, Inc.",1.7301,$36.57M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mbrx,
1975,MNTA,"Momenta Pharmaceuticals, Inc.",13.7,$1.05B,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta,
1976,MOMO,Momo Inc.,30.88,$6.11B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/momo,
1977,MCRI,"Monarch Casino & Resort, Inc.",46.73,$827.14M,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mcri,
1978,MDLZ,"Mondelez International, Inc.",42.47,$63.47B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz,
1979,MGI,"Moneygram International, Inc.",14.26,$773.34M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mgi,
1980,MDB,"MongoDB, Inc.",29.65,$1.45B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdb,
1981,MPWR,"Monolithic Power Systems, Inc.",124.38,$5.16B,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/mpwr,
1982,TYPE,Monotype Imaging Holdings Inc.,25.45,$1.06B,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/type,
1983,MNRO,"Monro, Inc. ",48.6,$1.59B,1991,Consumer Services,Automotive Aftermarket,http://www.nasdaq.com/symbol/mnro,
1984,MRCC,Monroe Capital Corporation,14.38,$291.05M,2012,n/a,n/a,http://www.nasdaq.com/symbol/mrcc,
1985,MNST,Monster Beverage Corporation,61.77,$34.84B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst,
1986,MSDI,"Monster Digital, Inc.",0.71,$6.69M,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdi,
1987,MSDIW,"Monster Digital, Inc.",0.0114,n/a,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdiw,
1988,MORN,"Morningstar, Inc.",91.99,$3.91B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn,
1989,MOSY,"MoSys, Inc.",1.34,$10.81M,2001,Technology,Semiconductors,http://www.nasdaq.com/symbol/mosy,
1990,MTFB,Motif Bio plc,8.2,$107.78M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtfb,
1991,MTFBW,Motif Bio plc,3.4068,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtfbw,
1992,MPAA,"Motorcar Parts of America, Inc.",25.2,$480.55M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpaa,
